탑승 일시,요일,탑승 시간,하차 시간,이동 시간,노선(호선),승차역,하차역,사용금액,교통수단,버스번호
2023-06-02,금,2023-06-07 07:50:26,2023-06-07 07:56:10,00:05:44,3412번(강동공영차고지~강남역),신논현역.구교보타워사거리,영동시장,300,2차 교통,3412.0
2023-06-02,금,2023-06-07 06:43:19,2023-06-07 07:40:21,00:57:02,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.0
2023-06-01,목,2023-06-07 08:04:14,2023-06-07 08:17:42,00:13:28,경기버스노선,지하철2호선.강남역(중),학동역6번출구,400,2차 교통,9202.0
2023-06-01,목,2023-06-07 06:51:20,2023-06-07 07:59:02,01:07:42,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-05-31,수,2023-06-07 07:56:26,2023-06-07 08:03:11,00:06:45,3412번(강동공영차고지~강남역),신논현역.구교보타워사거리,학동역5번출구,400,2차 교통,3412.0
2023-05-31,수,2023-06-07 06:51:06,2023-06-07 07:53:30,01:02:24,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.0
2023-05-30,화,2023-06-07 07:52:41,2023-06-07 08:05:21,00:12:40,경기버스노선,지하철2호선.강남역(중),학동역6번출구,300,2차 교통,9202.0
2023-05-30,화,2023-06-07 06:36:58,2023-06-07 07:45:09,01:08:11,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-05-26,금,2023-06-07 07:34:50,2023-06-07 07:42:11,00:07:21,3412번(강동공영차고지~강남역),신논현역.구교보타워사거리,학동역5번출구,300,2차 교통,3412.0
2023-05-26,금,2023-06-07 06:33:37,2023-06-07 07:29:30,00:55:53,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.0
2023-05-25,목,2023-06-07 07:50:14,2023-06-07 08:01:43,00:11:29,경기버스노선,지하철2호선.강남역(중),학동역6번출구,400,2차 교통,9202.0
2023-05-25,목,2023-06-07 06:39:27,2023-06-07 07:48:34,01:09:07,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2800,1차 교통,5001.1
2023-05-24,수,2023-06-07 07:29:15,2023-06-07 07:36:25,00:07:10,3412번(강동공영차고지~강남역),신논현역.구교보타워사거리,학동역5번출구,300,2차 교통,3412.0
2023-05-24,수,2023-06-07 06:24:53,2023-06-07 07:24:33,00:59:40,경기버스노선,동원로얄듀크.용인등기소,신논현역.주류성빌딩,2400,1차 교통,5001.0
